station_id,connect_time,disconnect_time,total_duration,charging_duration,energy,energy_per_quarter,z_score
COMM VITALITY / 1000WALNUT1,2021-12-10 10:00:00,2021-12-10 13:45:00,240,150,14.513,1.4513,0.369640947035101
BOULDER / N BOULDER REC 1,2021-12-10 11:00:00,2021-12-10 14:30:00,210,60,2.491,0.62275,0.643888674625765
COMM VITALITY / 1000WALNUT1,2021-12-08 17:45:00,2021-12-08 20:45:00,195,165,9.095,0.826818181818182,0.538562550645245
BOULDER / N BOULDER REC 1,2021-12-10 11:00:00,2021-12-10 11:45:00,30,30,1.813,0.9065,0.981731881846054
BOULDER / BASELINE ST1,2021-12-11 14:15:00,2021-12-11 15:30:00,75,75,9.059,1.8118,0.474967071015621
COMM VITALITY / 1000WALNUT2,2021-12-10 11:15:00,2021-12-10 14:15:00,180,150,7.308,0.7308,0.369640947035101
BOULDER / N BOULDER REC 1,2021-12-15 15:30:00,2021-12-15 16:00:00,15,15,1.997,1.997,1.1506534854562
COMM VITALITY / 1104 SPRUCE1,2021-12-11 14:15:00,2021-12-11 15:45:00,90,90,8.472,1.412,0.306045467405477
BOULDER / BASELINE ST1,2021-12-11 15:45:00,2021-12-11 17:15:00,90,60,3.077,0.76925,0.643888674625765
BOULDER / ATRIUM ST1,2021-12-11 16:00:00,2021-12-11 17:45:00,120,120,11.057,1.382125,0.0317977398148119
COMM VITALITY / 1104 SPRUCE1,2021-12-11 16:00:00,2021-12-11 17:15:00,60,60,6.669,1.66725,0.643888674625765
COMM VITALITY / BOULDER JCTN,2021-12-11 16:15:00,2021-12-11 17:30:00,60,60,7.43,1.8575,0.643888674625765
BOULDER / N BOULDER REC 1,2021-12-11 16:30:00,2021-12-11 19:00:00,150,150,16.087,1.6087,0.369640947035101
COMM VITALITY / 1000WALNUT1,2021-12-11 17:00:00,2021-12-11 19:00:00,120,120,11.439,1.429875,0.0317977398148119
